Cluster,Lat,Lng
0,51.52346914123274,0.023812645404668764
1,53.35483879027184,-2.886407744561429
2,56.047979369773635,-3.2064162353298027
3,50.58371192533889,-3.865585525568373
4,52.841617381270396,-1.2469840575244746
5,52.4863780454605,-1.9755331556979647
6,51.406513934316536,-0.6900181710423998
7,54.53868180845354,-1.3381790084822929
8,51.613326427275986,-3.261279116594994
9,52.31295689165592,1.2037540369155135
10,52.0723910440295,-0.6657751849294234
11,51.663867422227746,-1.4197105975725943
12,55.818315086820874,-4.279188038389722
13,53.78324688403853,-1.6685016849338905
14,51.75713430002908,-4.187008027275387
15,52.1344471160348,0.014232804715318403
16,53.05920184008676,-3.8065451155476655
17,53.73343442387269,-0.3394897970443318
18,57.693375526944855,-3.8451981648144242
19,57.320303339774206,-2.2473566414459434
20,54.79458068869708,-3.19848340353473
21,50.312847621298715,-5.029822229090917
22,53.53596468052027,-2.278245667602369
23,51.227499090646766,1.1326825211090894
24,53.878417763279515,-2.8375636209711206
25,51.598835943091814,-2.427382217488026
26,52.727092453622326,0.35861954578035626
27,50.83701424684471,-1.9006471943479055
28,51.50836442173234,-0.2320112814292692
29,50.92273560427651,-0.11238850272435252
30,52.89214351209797,-0.3939247982965335
31,54.97046168195263,-1.6107906528633373
32,53.72019350111602,-1.0901769793864051
33,56.80251573014257,-5.532520622539034
34,50.90785295204126,-1.1915679960952148
35,51.01216643954854,-2.855507066429607
36,53.34042631486354,-1.3757472670077968
37,52.94887536140967,-2.333496084289566
38,51.44645605220615,0.5291220997626103
39,52.38533438292823,-1.4610151963636364
